provincia,anio,denuncias,victimas,ordenes_proteccion,quebrantamientos,poblacion_total,poblacion_mujeres,renta_media_hogar,renta_media_persona,tasa_actividad_total,tasa_actividad_hombres,tasa_actividad_mujeres,tasa_empleo_total,tasa_empleo_hombres,tasa_empleo_mujeres,tasa_paro_total,tasa_paro_hombres,tasa_paro_mujeres
A CORUNA,2021,54.0,54.0,24.0,11.0,1120501.0,583140.0,,,,,,,,,,,
ALAVA,2021,53.0,53.0,5.0,1.0,333485.0,169186.0,,,,,,,,,,,
ALBACETE,2021,969.0,956.0,336.0,108.0,386726.0,193239.0,,,,,,,,,,,
ALICANTE,2021,10659.0,10627.0,2984.0,1433.0,1887036.0,951802.0,,,,,,,,,,,
ALMERIA,2021,2433.0,2218.0,580.0,348.0,730430.0,357607.0,,,,,,,,,,,
ASTURIAS,2021,1578.0,1571.0,421.0,246.0,1012117.0,528931.0,,,,,,,,,,,
AVILA,2021,374.0,374.0,141.0,42.0,158898.0,79014.0,,,,,,,,,,,
BADAJOZ,2021,1970.0,1970.0,650.0,130.0,671092.0,339236.0,,,,,,,,,,,
BARCELONA,2021,11536.0,11262.0,2780.0,1335.0,5702262.0,2916372.0,,,,,,,,,,,
BIZKAIA,2021,3269.0,3269.0,524.0,209.0,1153635.0,596445.0,,,,,,,,,,,
BURGOS,2021,811.0,805.0,273.0,90.0,356042.0,178002.0,,,,,,,,,,,
CACERES,2021,594.0,594.0,146.0,90.0,390544.0,196557.0,,,,,,,,,,,
CADIZ,2021,5433.0,4336.0,1317.0,1606.0,1249873.0,633278.0,,,,,,,,,,,
CANTABRIA,2021,416.0,416.0,102.0,37.0,584708.0,300854.0,,,,,,,,,,,
CASTELLON,2021,1102.0,1102.0,184.0,229.0,587632.0,295775.0,,,,,,,,,,,
CEUTA,2021,275.0,275.0,100.0,6.0,84071.0,41535.0,,,,,,,,,,,
CIUDAD REAL,2021,922.0,922.0,180.0,122.0,492900.0,248788.0,,,,,,,,,,,
CORDOBA,2021,2145.0,2144.0,368.0,191.0,777622.0,396763.0,,,,,,,,,,,
CUENCA,2021,409.0,409.0,145.0,9.0,196510.0,97762.0,,,,,,,,,,,
GIPUZKOA,2021,1445.0,1442.0,251.0,135.0,725508.0,371015.0,,,,,,,,,,,
GIRONA,2021,2211.0,2211.0,453.0,324.0,784941.0,391572.0,,,,,,,,,,,
GRANADA,2021,4677.0,4669.0,1381.0,327.0,925046.0,468653.0,,,,,,,,,,,
GUADALAJARA,2021,1433.0,1433.0,206.0,284.0,265969.0,131095.0,,,,,,,,,,,
HUELVA,2021,2394.0,2329.0,658.0,121.0,527254.0,266068.0,,,,,,,,,,,
HUESCA,2021,403.0,395.0,158.0,30.0,223995.0,110539.0,,,,,,,,,,,
